epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2843.03,1.47887,1.17809,1.44129,0.78769,0.71345,0.76346,0.44101,1.42236,1.0656,1.42005,0.008614,0.008614,0.008614
44,2897.48,1.45313,1.15915,1.4317,0.83459,0.71677,0.79848,0.46751,1.40266,1.02209,1.40775,0.008581,0.008581,0.008581
45,2951.66,1.44946,1.13489,1.41999,0.79151,0.68844,0.76565,0.44186,1.42897,1.07269,1.40826,0.008548,0.008548,0.008548
46,3006.01,1.44153,1.13918,1.41517,0.83022,0.72952,0.80832,0.47761,1.3929,1.01452,1.38665,0.008515,0.008515,0.008515
47,3060.3,1.44385,1.15001,1.4132,0.85051,0.74676,0.82445,0.48808,1.37003,0.96294,1.37021,0.008482,0.008482,0.008482
48,3114.53,1.42374,1.12812,1.40578,0.84801,0.75031,0.83077,0.49003,1.37018,0.94949,1.36648,0.008449,0.008449,0.008449
49,3168.9,1.42763,1.12227,1.39677,0.83386,0.74595,0.81913,0.48799,1.35819,0.97081,1.35149,0.008416,0.008416,0.008416
50,3223.18,1.41029,1.09439,1.38968,0.81406,0.7362,0.80683,0.48912,1.35182,0.99436,1.35582,0.008383,0.008383,0.008383
51,3278.11,1.43195,1.11831,1.39567,0.83398,0.76747,0.82913,0.49972,1.33837,0.92487,1.34854,0.00835,0.00835,0.00835
52,3333.28,1.40555,1.09173,1.38293,0.8374,0.75755,0.83295,0.49556,1.34746,0.955,1.34358,0.008317,0.008317,0.008317
53,3388.67,1.40271,1.07462,1.3851,0.82671,0.77305,0.83487,0.49855,1.35981,0.93312,1.3559,0.008284,0.008284,0.008284
54,3443.37,1.40083,1.0687,1.37989,0.85718,0.77513,0.83561,0.5106,1.31994,0.9155,1.3398,0.008251,0.008251,0.008251
55,3498.4,1.39568,1.07387,1.37876,0.83009,0.75854,0.83114,0.5079,1.31719,0.92544,1.31311,0.008218,0.008218,0.008218
56,3556.23,1.38507,1.05584,1.37301,0.83299,0.76851,0.83614,0.49851,1.33089,0.91807,1.33133,0.008185,0.008185,0.008185
57,3609.24,1.37226,1.04778,1.35725,0.85167,0.78005,0.85159,0.51692,1.30722,0.8992,1.31001,0.008152,0.008152,0.008152
58,3661.62,1.37336,1.04497,1.36209,0.83521,0.77651,0.84136,0.51658,1.30925,0.89219,1.32084,0.008119,0.008119,0.008119
59,3713.88,1.37609,1.03138,1.35735,0.84383,0.76553,0.84259,0.51596,1.32932,0.88757,1.3248,0.008086,0.008086,0.008086
60,3766.86,1.37676,1.03388,1.35952,0.86984,0.77307,0.8529,0.52703,1.29686,0.86191,1.30691,0.008053,0.008053,0.008053
61,3819.82,1.35847,1.01696,1.34811,0.85342,0.77989,0.85002,0.51559,1.31134,0.87894,1.31235,0.00802,0.00802,0.00802
62,3872.17,1.36102,1.02069,1.3498,0.859,0.78913,0.8569,0.51974,1.30565,0.8848,1.31736,0.007987,0.007987,0.007987
63,3925.16,1.37382,1.01723,1.3521,0.84775,0.78709,0.84436,0.52503,1.28148,0.88332,1.30435,0.007954,0.007954,0.007954
